iter	Passed	Remaining
737	2796	992
738	2798	988
739	2800	983
740	2801	979
741	2803	974
742	2805	970
743	2806	965
744	2808	961
745	2809	956
746	2811	952
747	2812	947
748	2815	943
749	2816	938
750	2817	934
751	2819	929
752	2820	925
753	2822	920
754	2824	916
755	2825	912
756	2827	907
757	2829	903
758	2830	898
759	2832	894
760	2833	889
761	2835	885
762	2836	881
763	2838	876
764	2839	872
765	2841	867
766	2843	863
767	2844	859
768	2846	854
769	2847	850
770	2849	846
771	2850	841
772	2851	837
773	2853	833
774	2854	828
775	2855	824
776	2858	820
777	2859	816
778	2861	811
779	2862	807
780	2864	803
781	2865	798
782	2866	794
783	2868	790
784	2869	785
785	2870	781
786	2873	777
787	2874	773
788	2876	769
789	2877	764
790	2879	760
791	2880	756
792	2881	752
793	2883	748
794	2884	743
795	2885	739
796	2888	735
797	2889	731
798	2891	727
799	2892	723
800	2894	719
801	2895	714
802	2897	710
803	2898	706
804	2899	702
805	2901	698
806	2903	694
807	2904	690
808	2906	686
809	2907	682
810	2909	678
811	2911	674
812	2912	669
813	2914	665
814	2915	661
815	2917	657
816	2918	653
817	2920	649
818	2921	645
819	2922	641
820	2924	637
821	2925	633
822	2927	629
823	2928	625
824	2929	621
825	2931	617
826	2933	613
827	2934	609
828	2936	605
829	2937	601
830	2939	597
831	2940	593
832	2941	589
833	2943	585
834	2944	581
835	2946	577
836	2948	574
837	2949	570
838	2951	566
839	2952	562
840	2954	558
841	2955	554
842	2956	550
843	2958	546
844	2959	542
845	2961	539
846	2963	535
847	2964	531
848	2966	527
849	2967	523
850	2969	519
851	2970	516
852	2972	512
853	2973	508
854	2974	504
855	2976	500
856	2978	496
857	2979	493
858	2981	489
859	2982	485
860	2984	481
861	2985	477
862	2986	474
863	2988	470
864	2990	466
865	2992	462
866	2993	459
867	2995	455
868	2996	451
869	2998	448
870	3000	444
871	3001	440
872	3003	436
873	3004	433
874	3006	429
875	3007	425
876	3009	422
877	3010	418
878	3012	414
879	3013	410
880	3015	407
881	3016	403
882	3017	399
883	3019	396
884	3020	392
885	3022	388
886	3024	385
887	3025	381
888	3027	377
889	3028	374
890	3029	370
891	3031	367
892	3032	363
893	3034	359
894	3035	356
895	3037	352
896	3039	348
897	3040	345
898	3042	341
899	3043	338
900	3044	334
901	3046	330
902	3047	327
903	3049	323
904	3050	320
905	3052	316
906	3054	313
907	3055	309
908	3057	306
909	3058	302
910	3059	298
911	3061	295
912	3062	291
913	3064	288
914	3065	284
915	3067	281
916	3068	277
917	3070	274
918	3071	270
919	3073	267
920	3074	263
921	3075	260
922	3077	256
923	3078	253
924	3082	249
925	3084	246
926	3085	242
927	3087	239
928	3088	236
929	3090	232
930	3091	229
931	3092	225
932	3094	222
933	3096	218
934	3097	215
935	3099	211
936	3101	208
937	3102	205
938	3104	201
939	3106	198
940	3107	194
941	3108	191
942	3110	188
943	3112	184
944	3114	181
945	3115	177
946	3116	174
947	3118	171
948	3119	167
949	3121	164
950	3122	160
951	3123	157
952	3125	154
953	3127	150
954	3129	147
955	3130	144
956	3132	140
957	3133	137
958	3135	134
959	3136	130
960	3137	127
961	3139	124
962	3141	120
963	3143	117
964	3144	114
965	3145	110
966	3147	107
967	3148	104
968	3150	100
969	3151	97
970	3152	94
971	3154	90
972	3156	87
973	3158	84
974	3159	81
975	3161	77
976	3162	74
977	3163	71
978	3165	67
979	3166	64
980	3168	61
981	3169	58
982	3172	54
983	3174	51
984	3175	48
985	3177	45
986	3179	41
987	3181	38
988	3183	35
989	3186	32
990	3187	28
991	3189	25
992	3191	22
993	3193	19
994	3194	16
995	3196	12
996	3197	9
997	3198	6
998	3200	3
999	3202	0
